,Unnamed: 0,post
86,86,  week today tear pregnant tired uncomfortable m super excited actually baby husband parent time dread labor go miss job leave think thing like oh want wait date leave second tired work pregnancy right nevermind want leave right second emotional roller coaster
87,87,  exhaustion
88,88,  hey bumper week tired early pregnancy determine pretty anemic iron pill remember go pill tired time going feel well start feel normal tired tired point struggle TON morning work struggle work struggle stay work till end day feel like fog constantly today example fall asleep morning little late slept noon today wake hour pee fall asleep easily sleep deeply today wake exhausted like hour eat fine like feel dead exhausted fall asleep little bit ago ish little tired feel iron pill m wonder normal trimester woe mean iron pill stop work working feel way trimester go check level Wednesday ugh terrible
89,89,  essential oil hear heal sick kind way relax actually fall asleep night fast able
90,90,  Claritin humidifier grow constantly sick sinus issue parent benadryl nyquil start claritin humidifier breathe
91,91,  hi teacher new sub let know break rule ask ask lot delete Anyways ask husband graduate year ago pretty know college teaching area english education degree license th grader husband ton website teach job posting applys applicable opinion get lot interview hire period like month resume lot help good stand people education school good reference despite fact interview step interview process make past interview tell frustrate lot dress appropriately goes research school hand mission value etc match tie school color financially sub nt good option right thing education relate teaching weekend class kid nt understand nt past interview wonder guy tip thing wrong SouthWest Ohio area matter TLDR husband nt job teaching get past interview help
92,92,  reccomend Lacy Green nt remember
93,93,  pee Gatorade bottle avoid walk common room bathroom roommate mad friend common room girl difficult feat
94,94,  NTA date ex d fail put blame
95,95,  Nah s laundry basket porn Google
96,96,  act like engineer scientist maybe bio engineer sure
97,97,  hey mom nt mom kind stuff we pass favorite recipe wish mother figure kind thing
98,98,  INFO sister view responsibility godparent religious guidance future potential guardian
99,99,  NTA text send fix fuse fuel fire point especially know car problem stress time
100,100,  fully go away get manageable occasional relapse depend life stuff get point exposure couple thought management force think burden try think possible people genuinely nice people happy help think exposure exposure exposure fake till it pretend like belong normal true get job working customer help fact feel uniform give authority feel like burden self conscious like boss
101,101,  ESH nt handle close surgery scoliosis result person near constant pain extremely depressed switch home school surgery nt know brother recovery like take year understand fully go person close understanding maybe try thing brother wo nt cause pain cheer motivate ask work say work well study buddy
102,102,  NC month narc mom texte DH block invite Easter guess time kind hope change consider DH nt agree willing respect decision milling thought realize hear suggest change time family Edad spread ton lie bad mouthed decide basically call respond d expect course ton lie manipulation gaslighte rug sweeping thing surprise admit point wrong respect boundary obviously nt apologize pretend like stop okay nt express slight interest have life meeting involve daughter July basically say loss nt try bit guess expect noticed parent kind crazy grandparent thing way parent talk past figured guess hopefully nt change LO arrive Edit Needless NC finally give hope rest family change free way family holiday depress lonely awhile look forward spend LO DH year
103,103,  like Woodlands Cleves depend location super reasonable price staff amazing
104,104,  NTA kinda eff girlfriend stand point lead person insult time stand
105,105,  YTA simple apology action lack knowledge etiquette long way
106,106,  want look prolife s asshole feel fetus child support termination prolife pro choice dude TA
107,107,  refer fetus child truly feel child way try advocate instead want abortion despite view child
108,108,  YTA edit
109,109,  reccomend check raisedbynarcissist justnofamily sorry idk link stuff haha
110,110,  avoid creepiness awkwardness add accept react post maybe like message say post slight segway
111,111,  parental consent yes kid year old nt drink one drink
112,112,  state legal drink private property sale alcohol happen parental consent
113,113,  similar situation watch parent abuse neglect young sibling basically life point future extremely bleak young basically drop school stuff point think late CPS wish young sibling young call CPS mother nt get brother care need emotional mental issue aka medical neglect necessarily remove home potentially help guide mom well resource sure sibling well take care
114,114,  currently NC narc parent LOT reason drive fact pregnant protect anymore baby VLC NC month time fix relationship sister heavily influence abusive past codependent fix relationship lot well boundary communicate well feel lot worry s moved parent house s nt currently school year finish reason nt finish school hospitalize eat disorder got go patient center week month relapse end hospital point recommend specialized inpatient hour wait insurance approve preapproval acting issue officially approve constantly try convince tell nt ride offer change date adjust schedule fine NMom start pull bs chicken pox go nt sister pregnancy nt have trying constantly convince push know insurance reject ve switch telling go kick wo nt drive therapist appointment etc tell thin calling name etc hard decision s brave agreeing dealing making consider go mad need consider break NC go scream s plan October move nt option officially kick TLDR narc parent try convince sister stay sick treatment mad thinking pause NC
115,115,  hear ask question baby stuff go let pregnant person ask typical normal stuff outside pregnancy
116,116,  go NC leave message avenue open parent reason nmom especially nt respect boundary place constantly time day blow phone switching sweet mean invite etc Nparents nt respect boundary ahead block personally
117,117,  similar experience graduate high school honor have college education set ton AP credit work butt dad refuse graduation say dumb pointless nt dinner grandparent definitely nt party GC young brother graduate year D degree kind graduation scrape online school bc nt bother person school attend school day apparently waste time future set dad take couple guy weekend long camping trip celebrate dad nt understand wrong guy thing nt daughter trip thinking go military d move far away nt dorme nt btw nt want college graduation double degree high school bad experience graduation sad especially see family know care let
118,118,  Background mother narcissistic sure dad know s hole abuse sibling pretty badly grow old end parent sibling sister sibling old take parent bit past couple month decide contact basically stem parent sibling choose extend family member treat horribly CONSTANTLY family home point positive environment share ultrasound picture nmom explain lot point tired watching treat horribly constantly buddy buddy tired dog kick Long story short choose knowledge fact result go mo contact meeting future bb get long able NC struggle guilt leave sibling clutch bother dream have time go NC dream family member scream physically attack ton family audience end having defend physically attacker audience variation dream family member attack different family member protect past happen audience family solely defend person getting physically harm process lot time end having kill attacker Idk way notice dream connect today guess make sense lot look reason lot issue family member past fact let dad abuse grow handle NC dream exhausting make thing hard similar dream especially go NC TLDR go NC have bad nightmare base past trauma relationship family
119,119,  currently pregnant baby late summer recently go LC NC parent start half month ago eventually culminate have block parent family sibling extend family stop harrassment thing vaguely radio quiet discover Nmom leave interesting email aunt talk find family play pregnancy hormone basically know actually baby thing going explode wo pregnancy hormone try blame anymore ll obsessed meeting kid keep grandchild away past parent talk bad thing grandparent know feel strongly month contact mom nt respect baby thing post pregnancy permission constantly talk post grandparent despite fact tell like terrified go happen show apartment hospital talk hospital visitor stuff careful TLDR grow tell parent day go kid life finally go happen scared reaction
120,120,  bland unseasoned white lady thanksgive turkey
121,121,  mom help nt talk pregnancy suck m friend pregnant nt female adult role model life turn hate pregnant m week wish bad insomnia night m exhaust day making suffer college internship feel like body fail turn nt know s normal
