,post
100, Wow I didnt know that my mind is blown. 
101, Link - Namibia - German- Germany - world war 2 - hitler  
102," That links to Australia, then to Papua New Guinea, then Germany... then you know the rest. "
103, Apparently Ive been doing it wrong. 
104, I love it! Your wife is really talented! 
105, I havent had a chance to see it yet cause Im at school right now- but Im still really proud of them! I cant even put into words how surreal this feels to me. 
106, F(x) and the sm dungeon. 
107, What kind of dog is that? 
108, I would take it the second it was given to me. 
109, Bonjour! 
110, And then being too broke to buy things you actually need. 
111," I dont know if anyone has mentioned this yet, but woozi from seventeen looks like a mini version of yoongi from bts. "
112," One time when I was 9, I saw a cup of apple juice on the counter, and without even questioning it, I took a sip. It tasted a bit stronger than usual, and I was confused until I realized that it wasnt juice... it was wine. "
113, Fuck that bitch Claire. 
114, Im the opposite. Im a 20 year old girl who looks 14. 
115, Ill try not to. 
116," I feel like some people forget that celebrities are people too, and deserve as much respect as normal people do.  "
117," These types of people are the reason why I dont like telling people Im a kpop fan. 

(I swear not all of us are that psychotic, but yeah, some of them are.) "
118, Well Ive never dated anyone before so I guess I dont have to worry about something like that. 
119, Wait is this about license plates? Because I thought you meant the plates you eat off of. 
120, I was being cyberbullied and it just made my depression even worse. 
121, Rest In Peace in peace. 
122, I know. 
123, Youre welcome! 
124, Planned better? Thats so dumb. Its not like you can control your period.  
125," Yeah, Ive actually learned a lot about Korean culture because of kpop.  "
126," Im American and I dont really like talking to strangers.

I feel like I would fit in well in Finland. "
127," My fourth grade teacher. I have lots of stories about how much of a bitch she was, but one that stands out in particular was when we had a spelling test, and she marked all of the answers wrong, even though I spelled all the words right, but apparently they were wrong because I capitalized them when I wasnt supposed to.  "
128," I never thought anything about the food portions because you can just ask for a box in restaurants to take home with you. That is until I went to Japan last summer, and I asked for a box and the waiter just looked really confused.  "
129," My moms a teacher, and one year she had this 8 year old kid in her class who said he was excited to see the new twilight movie because I heard the sex is really good.

Yep, an 8 year old said that. "
130," I have a similar problem. Im really bad at explaining things, and lately Ive been forgetting a lot of things, even really basic things. Its actually starting to get really frustrating, and I just feel really stupid. "
131," I like hermione and Ron together. But I agree with the harry/Ginny thing. To me, they didnt have much chemistry between them. "
132, Why did he wait that long to tell you? 
133, Wow this is so shocking. 
134," Step 1: wait for your parents to leave 
Step 2: take clothes off 

Its really not that difficult. "
135, Stranger things  
136," Wow, that hair color is so beautiful!  "
137, You can pm me if you want to. 
138, Sarahs dad has got it going on... 
139, Isnt ferb adopted? 
140, Howdy 
141," Yes, my two nct biases! "
142," Haha, I do that. "
143, Thats how I feel every day. 
144," BTS- jungkook 
Exo- baekhyun 
Twice- Momo 
Blackpink- Lisa 

At least thats all I can think of for now. "
145," I kind of have the same thing, except its me saying oh shit Im dreaming, I should probably wake up now.  "
146," Thank you! I was cyber bullied in middle school and people would just be like then turn off the computer. I mean, I guess that helps if theyre people you dont know, but these were people I had to see everyday at school. Its not that simple. "
147, Sent from iPhone 
148, One of the supervisors got caught stealing. 
149, Id be happy to have friends. 
150," To be fair, I thought that was a giant ice cream sandwich too, until I saw what it actually was. "
151," I had the opposite problem where whenever I tried to tell people I was being bullied, instead of actually doing anything about it they would tell me its my fault for being shy (which apparently made me an easy target). "
152," In the song irresistible by fall out boy, I thought he was saying too many waffles.

The actual line was too many war wounds. "
153, Im 20 and I can relate to this.  
154, 20 points to ravenclaw  
155, For a second I thought your name was gassy. 
156, Retail. Dont be an asshole. 
157," Im from California, and Im broke as fuck. "
158, It gets worse when theres no way around them. 
159," Cant relate, I dont have friends. "
160, Harriet potter  
161, Shes annoying. 
162, Happy birthday! 
163," I wasnt allowed to watch it either, but only because my mom hated it and thought it was weird. "
164, France? 
165, Oh my god I remember watching that movie on the plane and trying so hard not to cry in front of everyone when that song started playing. 
166," To be honest, I dont see anything wrong with it. "
167, And it takes them 5 minutes just to say that. 
168," As someone who was in the panic! at the disco fandom... never read the milk fic. To this day, Im still reminded of it whenever I even look at milk.

Also this kind of reminds me of something similar happening with Dan and Phil, but like... with more creepy fanfics.  "
169, This is the cutest thing Ive ever read. Im happy for you.  
170, I had a similar experience in middle school where I was obsessed with twilight and I actually wished I was a vampire.  
171, Happy birthday maximus! 
172, This has happened to me more times than Id like to admit. 
173, Hes so cute! And Im glad that you finally get to have a dog. 
174, What sex life? 
175, Remindme! 1 day 
176, Happy birthday! 
177, Yes. You are the good boy. 
178, Suki is a really nice name.  
179, This is the prettiest cat Ive ever seen. 
