,post
38," Thanks for the advice! I definitely get nauseous from it, any food youve found particularly good to take it with?  "
39," I did try it but I havent been taking it consistently, kinda hard since I work second shift and right before bed is the time I usually struggle with the urges. I didnt really notice a difference on the days I took it but its hard to say. Let me know how it goes for you!  "
40," This is amazing! Youre very talented, I want to hear your other songs "
41, The Artemis Fowl series if you like young adult fiction  
42," Came here to say the same thing basically, I just finished it 2 days ago  "
43," I like making personalized mugs, you can carve their name or whatever you want into it  "
44, Pygmy by Chuck Palahnuik. Only reason I read the whole thing was that it was one of 3 books I brought on a wilderness backpacking trip and I had already read the other 2.  
45, I think its to prevent them from doing inappropriate things under the blankets mostly  
46, The Alchemist by Paulo Coelho 
47," Hahahaha I love this, I currently work in a residential program for girls 14-18 with complex trauma (basically a longer term mental hospital with more lax rules) and some of them flip shit almost daily over not being allowed to take blankets into common areas  "
48, r/vaporwaveaesthetics 
49, Zen and the art of motorcycle maintenance  
50, Get a reusable water bottle! The earth will thank you  
51," Thank you so much! 
 "
52," Hi guys! I was just reading an article that mentioned this study: https://www.ncbi.nlm.nih.gov/m/pubmed/27007062/ that found evidence that NAC supplements may lessen excoriation behaviors. Have any of you tried it? What were your experiences? Thank you, much love to you all.  "
53," My mom read How to Win Friends and Influence People to me when I was young and I think it was pretty formative for me, although I havent re-read it as an adult "
54," Definitely, I feel like my memory has declined so much since I started having real episodes  "
55," I think this is more likely to be x inactivation rather than chimerism: 
https://simple.m.wikipedia.org/wiki/Mosaic_(genetics) "
56," I think its more likely to be an example of x inactivation, but if its a male cat definitely could be a chimera!  "
57," Its called a mosaic in genetics, caused by a few different things but most commonly X chromosome inactivation. It is often easily observable in cats cats because genes determining fur color are on the X chromosome. This only happens to females because of the pattern of X chromosome silencing. When the cat is developing the stem cells independently silence one X chromosome, resulting in some cells expressing the fathers and some expressing the mothers.  "
58," I recently discovered this Spotify feature and really love it, but it uses the same songs in the same order for me, do you know if theres a way to change that?  "
59," An Unquiet Mind by Kay Redfield Jamison (shes bipolar), and The Quiet Room by Lori Schiller (she has schizoaffective disorder) they are both autobiographical and a really good insight into what the authors went through  "
60, Basically anything by Philip k dick  
61," Make sure you have good shoes and good running form, shin splints can really sneak up on you  "
62, I think all of my friends know. Ive found that being super honest with everyone helps so much when Im going through a rough time since I dont feel like I have to try to hide it as much.  
63," What sort of relationship do you want with him moving forward? Do you just want some sort of closure or do you want him to be a part of your life? I think you should go into it knowing your ideal for the situation, and remain mentally prepared for his reactions. Has he ever apologized to you for the way he treated you?  "
64," This is so cool, also just checked out your post history and damn dude you are an incredible artist  "
65," I love that place, went for spring break my senior year of college  "
66, Wait is this coyote gulch?  
67," Genetic genie can use your raw data from 23 and me  to find snps and guides you through what they mean. That being said, take everything you see with a grain of salt because there isnt exact consensus on what every snp means in terms of protein function  "
68," Yeah Im not sure why deplin is such a high dose, it seems like for most people its excessive even with a mthfr mutation  "
69," Definitely dont get your hopes up too much, I had a similar situation where I thought folate was going to be the miracle cure but its way more complicated than that. I would suggest checking out Dr Ben Lynch (he has a ton of information on supplementation for specific SNPs - http://mthfr.net/ ). Also if your doc puts you on deplin definitely monitor how you handle it because it was initially way too much for me and caused some negative side effects. Ive found that over the counter supplements with folinate actually work better than an already methylated form for me, but everyone is different.  "
70, What lucky workmates!  
71," Weekend trips are fun cause theres not as much stress if you forget something! 

Water purification
water bottles/hydration bladder 
Headlamp (check batteries before you go) 
Sleeping bag/pad
Stove (and fuel) 
Pot
Knife
Food
Shelter (tent/tarp) 
Rain gear 
Warm jacket and pants
Camp shoes (crocs, chacos, etc) 
Dry socks to sleep in 
Hat/gloves if its cold
Bear spray if youre in a bear prone area 
Med kit (with some things to treat cuts and blisters, tweezers, ibuprofen) 

One thing I like to do is wrap duct tape around my water bottle so I always have some handy

Oh and contractor trash bags work great for lining your backpack  "
72," Hey Im 22 too! Id suggest monitoring your memory externally somehow, such as journaling or talking to someone close to you because I had no idea how bad it really was until I stopped taking it.  "
73, Depakote made my memory absolutely terrible- to the point where I dont have any memories from when I was on it. I had to stop taking it because my blood levels got too high (even on the lowest dose) and my memory slowly came back. It sucks because I think it has been the most effective med Ive tried but I definitely wouldnt go on it again because of the memory issues 
74,  
75," My randomly assigned freshman year roommate and I got along so well that we decided to live together a second year. She helped me through some of the hardest times in my life, and when I was in a mental hospital after a suicide attempt she was one of the few people who visited me despite her insanely busy pre med schedule. Saying goodbye to her was the only time I cried during graduation, and I miss her so much (although we do keep in touch)  "
76, Im sure there are funnier things but the only one that comes to mind currently is going for 4+ mike runs barefoot in a city while singing to myself  
77,  
78, Thank you so much!  
79, I should clarify- Not my first weld but my first vertical weave 
80,  
81, Try magnesium supplements! Helped me with jaw clenching side effects from various meds and wont hurt anything.  
