,post
47," 15 years ago in high school i was working on a project with a girl i had a minor crush on. Anyways i was super focused on doing something i think i was makings and outline of a molecule or something. But she got really close to me for a second and she said ""do you wear contacts""?  me-""no why?"". her- ""not even colored ones?""me -""nope"".  She got even closer for a second then sat back and smiled and said  ""wow you have really beautiful eye's"".   I wasn't an ugly guy back in high school but the only thing i really had going for me was that i had put on alot of muscle that year so i occasionally got like an oohh you're really strong.That's the only time that a non relative complemented my eye's and it still makes me feel good about it.   So yeah we are pretty starved for anything other than being handsome or cute or strong.

TLDR; 15 years ago in high school a crush told me i had beautiful eye's and it still makes me happy."" "
48, They are def people and 2 holes isn't even accurate they have more than that. like damn. 
49, yeah like ii think if you really are that passionate about a hobby if it really is a passion then you should never be shamed for it. BUT if you are angrily describing/bitching about thing's wrong with your hobby or getting really sexual about things with it.  ex) Tifa is so hot i would fuck her all night. Then it's alarming i think mostly because it shows you have no sense of shame or self control which tends to = scumbag. 
50," Yeah just from your post i can tell  that you aren't that type of dude.   
The type we are talking about tries and fails to use pity as a means manipulation into getting laid and then they get SUPER SALTY or Murdery/rapey when it doesn't work because they are ""nice"" it is what they deserve . That and the way they talk is generally very very objectifying. "
51, I feel like it's a virgin raging hormo's thing. So yeah it's WAYYY worse when you see it after HS. 
52," It's kinda fucked up how often i had to threaten dudes or pretended to be a BF at bars/ and the mall for some reason, in my early 20's because i see them harassing the hell out of my female friends (or in some extreme cases strangers). "
53, I've learned that some of my friends have one or 2 (both male and female) and for each of them i was actually surprised. i imagine it's more common than people think but the stigma makes it so only creepy ass dudes talk about it. 
54, yeah all this plus  most literally everything i've read about terrible first dates made me cringe super hard. I feel like it was just a fine to sucker punch someone once in the face alot of this would be less of an issue. 
55, you can get the inside of you nose reconstructed for surprisingly cheap as long as it's nothing cosmetic it's pretty affordable. Helped me wonders after the 13th and final time i had my nose broken. 
56, Not creepy but annoying is when they constantly talk about how good of a guy they are. 
57," My advice would be treat them like you want to be best friends not lovers, if you change parts of yourself to please friends too well then it may be an idea to try therapy. I had the same issue as you until i stopped actively trying to get women to like me. Just trying to do things you love with people that you like/love and do things that they love too and you should find a very healthy relationship.   


TLDR; Treat them like they are your best friend that you would be happy to fuck. "
58, yeah my increased does lexapro has made it hard for me to reach peak as well  but my wife is always very satisfied. Helpful tips i've found is that some studies show that lexpro may decrease the amount of salt in your body (moore common the younger you are) and makes you dehydrated easier. I now try to drink 1-2 zero cal sports drinks a day and while i may not always get there it still feels alot better than without the gatoraid. 
59, Top comments are on point but i would also like to mention making sure if you are sexually compatible. 
60," Having sex with a mostly but not completely erect penis is actually pretty dangerous much high chance of ""breaking"" your dick. This chance is farther increased if you aren't the one moving.  


Edit:typo "
61," eispcally when she's like ""you're so big""  
, ""oh but this isn't even my final form!"" "
62, It's probably unfolding as we type. 
63," Oh I'm dumb i meant [[scour from existence]]
Also there is [[perilous vault]] [[Karn liberated]] and both ulamogs. 

I've mained a mono black deck for 5 years and this card can be good if your deck wants to swing alot but personally i think its lack luster. "
64, [[Return to Dust]] and [[Meteor Golem]] are way better choices and oh and [[Steel Hellkite]]. 
65, Get help the depression Is real. 
66, Call of duty modern warfare 2. Holy shit those characters were so well acted. 
67,  
68," I would recommend listening to this podcast by the laboratory maniacs guys. The problem with playing a tournament for EDH is collusion. 

You get 2 people in a pod that know each other and have powerful decks in most cases one of those 2 are going to win that pod. 

If you are going to do it. My recommendation would be to split the prize 2 ways 1 prize for first place and one prize for the most interesting deck. Preferably have the most interesting deck have a slightly larger prize. 

Have each person in a pod vote on the deck they thought was the coolest. After 2 or 3 rounds whoever has the most votes wins the prize. (I have no solution for ties for most interesting deck.)


https://youtu.be/FfH13xLfovo "
69, I agree i think you mostly just need more draw engines. And probably the green enchant that turns a thing into a basic forest. 
70, Man the borderless makes me realize how great that art is. Nice job 
71," [[Derevi, Empyrial Tactician]] tempo toolbox. That deck always had an answer for basically anything and just slowly punched you to death. (No it didn't run winter orb or the like.) Man that was a fun deck. "
72, please kill him and give us a new blue walker after this for the love of bolas. 
73, I have an appt in about a month. I'll make sure to bring it up.  
74, Yeah i have it's not suicidal or self harm thoughts just so meh.. My wife wants to help but doesn't really understand as she doesn't have depression herself. So i figured i'd ask y'all. Ty for the advice as well. 
75, Hmm nothing jumps to mind but I'll try to see if i can think of somthing. Also I've tried some other stuff just nothing seems like i really want to do this. Just more i guess this passes the time. 
76," A bit of context I'm 27 and have severe depression, anxiety, adhd and some mild ptsd i am medicated for all of it.  I Am married in a good relationship.

Normally i play video games with friends and my wife at night and play Mtg (magic the gathering) on one of my days off.  But lately nothing seems fun or interesting i pretty much just work eat and sleep now. I also seem to be tried alot again. Even the idea of sex is just meh. Not sure how to break this cycle, advice?  "
77, They should lose their licences for this shit.  
78, Love it.  
79, Quite good although my only criticism would be the arms look too long on the vampire(?) in the chair.  
80, Fallout 3 a bought it summer of my junior year and dis nothing but play that game for 3 straight weeks almost. 
81, i'm trying to get 3 more arena codes for my brothers and wife if someone will pm me 3 i would greatly appreciate it 
82, Honestly keep going for now antidepressants take a bit to work. Encourage him to talk to his therapist but. If he continues self harm and seems even remotely more unstable call 911 and get professional involved to have him forcibly treated in a safe environment. That's what it took for me.  
83, The american government.  
84, The end of mass effect 3 
85, Same used to happen to me frequently.  found out it was Actually severe anxiety after 12 years of it.Turns out i was just able to work around it and remain a high functioning member of society.  
86," Same, don't poke it to Hard or it will hurt your balls.  "
87, Bit dungeon 2 i got it in a bundle deal and played it when my internet was out for a month. That game is by far the best $1  game I've ever played. 
88," I mean i felt the same way ended up getting treatment in october, turns out i had been severely depressed for about 15 years. "
89, Permission to use this concept art for my upcoming dnd boss?  
90, Now its all about those hand drawn games lookin at you cuphead. 
91," A little girl that killed her parents and siblings and now they are undead puppets taking care of/fighting for here. The twist is the father was the necromancer on the council but the girl has her own plans. And none have yet noticed the father is actually dead.
 "
92, Kids 
93, Love me that Wellbutrin feels nice that walking no longer feels like I'm pulling a car behind me. 
94," There wasn't really any one thing for me at least. I just received my first treatment from professionals in my life. After going to the E.R. because i could no longer fend off the emotional need to end my own life. Turns out I've been depressed and horribly anxious since i was around 5 (25 now)and suicidal depressed for almost 12 straight years. I will say that meditation and exercise are great and help a bit.

 But the true and real reason i have been able to survive so long (until the wonderful people at the hospital helped me). Was by really 3 parts A) cutting toxic people out of my life yes this means toxic family too.B) having real friends that are there for me when life get way too real and too much.C) Pet's. 

Also found group therapy in the hospital was very very helpful most city's have free programs that are similar to aa for people with mental illnesses.

P.S. if these things don't help you after a few weeks months at most. YOU NEED PROFESSIONAL HELP. it's ok.


 "
95, I mean they suggested meditation as a coping skill while i was in a mental institution. It helps with anxiety but can be dangerous with major depression. 
96,  
97, Neil is a self important dick. 
98, Writing and making dnd campigns 
99, I have to ask where did you get the tiny easel stand? Also your work is super crisp =D 
100," Money cant buy happiness but it can buy a knowing feeling of a financially stable future and man that is alot of stress gone forever. Also it can by drugs that make your brain think it's happy, so it can buy synthetic happiness. "
101, Pre or post 2009 market crash? 
102, It's not free trade when laws literally prevent competition 
103, No it didn't we killed that industry 
104, Hey diamonds are useful and worth every penny; for lazers and drills And surgical equipment. Not for rings /jewelry. Fuck that. 
105," How millennials are killing (insert bad business model here)

Them - How dare they kill americas treasure!

Us- You mean a business not supplying what its consumers want and going under as a result? That's capitalism.

Them-How dare they want handouts! Gives- grossly irresponsible banks and investors bailout money even though it literally broke how our money works.

Us-  we just want Affordable schooling, healthcare and homes so we can simulate economic growth somthing that wouldn't be a problem if your generation didnt interfere with it consistently.

I think we may be more pro capitalism than baby boomers. By you know bankrupting shitty business and understanding basic economics.
 "
106," Well i would love to have 5 roommates and live in a shithole house so i could get the fuck away from you. But that county beatification  bill you were sooooo proud you voted for made it illegal to rent out homes within 20 miles of the college. So here is a hot iron brand, please, shove it up your asshole. "
107," My god i hated that shit growing up ill pay you 5 dollars an hour to help in the yard me at 11- ok what do you want done on the yard? Blank blank and blank. 4 hours later mom  "" this is as far as you've gotten? I know you can work harder than that"" 11 year old me-""why would i work hard or efficent if you are paying me by the hour?"" 

Now if my mom wants me to do any work on her house i quote her for an amount of money and it will take as long as it takes. "
108," Abzan is a magic the gathering color combination. Named from the magic the gathering ""Khan's of Tarkir"" block in the lore and the game the realm of tarkir was made up of 5 tribes each using three diffrent colors of magic.  ""Abzan"" is a tribe using white green black color combination. So an Abzan deck is a deck consisting of the said colors and is extremely popular color combo in the modern format of mtg currently.  "
109," There are some papers out there thoerizing that stress can effect things like predispositions for cancer. Much like how ""heartbreak syndrom"" can literally kill people.  "
110, Adrenline Pumpkins new album: Raging Pie 
111," Jeez , this is great paint it yourself?  "
112," 2001: A Space Odyssey 

it just wasn't very grabbing to me.
 "
113," Lol i did the same when i woke up from general though i was 13 maybe 14 at the time.
weirdest part with mine was that my liver was functioning fine just really really scarred up. 
the moral of this story is unless you will die if you don't. don't take part in an experimental drug trial. "
114, Dude holy shit i had the same thing though i had to get a renal splenal shunt put in and mine luckly never fully burst before they were found and banded over the course of a few months (37 total). *Lived through extendes internal bleeding five* 
115, If you want a really long time killer and like mid fantasy Wheel of time series is pretty dope. 
116," Chemotherapy and experimental drugs fucked my brain up in weird ways. Like some day's i just feel no emotion, and most days i lose 45 mins or so of time mid activity and my mind just goes blank I'm completley unaware of what my body is doing and the passage of time (according to my wife It's mostly pacing) until somthing breaks me out of it. Honestly terrified its gonna happen one day and it will be years later and i have no memory of what transpired. "
117," It's ""the blood of the covenant is thicker than the water of the womb"" not blood is thicker than water.

Honestly people go on and on about how family is everthing in the media your family ,people who are close with their families, its bullshit. don't be with toxic people even if they share genetics with you. I cut off really hard from the majority of my family many years ago ( see them maybe once every 3 years and rarley talk in that time) though for different reasons than yours, and in that time i learned that your home and your family are where your heart is not where your genetics are from and I'm far happier for it. Get yourself some breathing room. "
118," ""Drive like everyone else is blind,drunk,stupid or any combination of the 3""

dont trust turn signals (or lack of) as meaning someone is going to do something you expect. 

Always check before going through a green light has saved me from 2 t bones

avoid other cars blind spots

laws don't dictate physics

My granddad gave me this advice when i first started driving and I've never crashed in my 11 years of driving.
 "
119," Gentle and kind people

""There are 3 things all wise men fear, the sea in a storm, a moonless night, and the wrath of a gentle soul.""
-unknown(?)
(Heard it a long time ago and remember it to this day) "
120," Live together first.

In my opinion have sex. You should know if you are compatible Share your fetishes\fantasies.

Know that you will fight amd be mad even somtimes hate each other maybe for a few days or even weeks it's not all sunshine and rainbows. But it's worth it.

Know if you want kids or not.

This mau be the most important one of all

YOUR S.O. OS NOT A MIND READER 
Your partner will not always know why your are upset or that you want sex ect ect if you don't make it clear and you shouldn't expect them instinctively know these things.



 "
121," Learning how to cook non boxed meals actually can save alot of money. 

Perpacking a few days worth of meals to heat up in a microwave (kinda sucks too though).

If you have an elective taking a cooking and/or nutrition class helps as well for the above thimgs and it's great life skills.

Sams club or Costco.

Aldi has off brand everything and will save you a ton on groceries.

Enriched rice and rice cookers are your friend, Espically in a dorm.

(As previously mentioned) Chegg.com buying your books on campus is criminally expensive.

Roommates and living off campus in many areas is cheaper. 

Bike/walk/public transit if it's safe/realistic.

Spend time digging for scholarships

Change jars if you use cash can add up to alot over time.

Never shop at publix

This last one may be the advice that has saved me the most money.
Legitimately find a really cheap/free hobby like DnD, World of Warcraft, League of Legends. 

Having somthing fun to do that doesn't involve leaving the house has saved me from spending a shitload of money over the years. (Just make sure you actully study too.)









 "
122," Chegg.com, rent/buy your books off of it, you will save an insane amount of money per semester. My last semester i saved 800 dollars. Total for 2 years probably 2-3 grand saved. "
123," It is really strange I'm 27 as well and grew up in a suburb outside atlanta that exploded in size as i was growing up. used to just walk around /bike to my friends houses. But during the summer around middle school my parent's would let me leave or even use the stove while they were at work but they let me bike 2 miles away.. A mere year before. Then when i hit highschool especially when i was 16 and got our really old gas guzzling truck (had a cellphone now as well). during those summers i would spend actual weeks without seeing my parents they would just call every few day's to make sure i was alive/not in jail. Was funny when my friends who had jobs but no car and i who had a car and no job took a trip to FL just spur of the moment. Good times. But still it was weird having that super overprotective phase. I can't imagine what it would be like to live like that my whole childhood.

Edit: did just occur to me that it was right after i finished chemotherapy and was in full remission that that weird overprotective time kicked in.. Still from a child's POV it was super weird. "
124, Yo got a growlithe adding now 
125, Add me plz 
126, word. 
127," yup yup
 "
128,  
129, Plz add me been trying to get eevee all day 
130, Add me plz as well =D 
131," Got some fires here for that eevee =D
 "
132," Added
 "
133," i keep going offline to add more friends i have to leave to work for a bit now, but i'll leave my ds on and connected for you peeps i've added already.
 "
134, and Slugma has flame body for breeding =D 
135," certainly
 "
136,  
137, Added 
