,post
10," Granted. You do not die, but you continue to age. You still feel pain, and you still get sick. You just don't die. You slowly lose mobility and cognitive abilities, becoming an invalid.  Medical staff try their best to care for you until you have so many incurable diseases they cannot continue without risking everyone's safety. They have to seal you away in a room that no one can enter. They go so far as to plaster over the door. 

As time goes on, you are forgotten. The huger pains are intense. The lonliness is soul crushing. Your mental and physical health continue to deteriorate. One at a time, you lose different abilities. Sight, hearing, speech, memories, they all slip away. The diseases relentlessly attack you. Pain and sadness, darkness and silence; you just don't die. "
11," Granted. Nothing you want to happen ever happens. For example, if you want to be around people you are instead alone, and when you want to be alone, you are constantly bothered by people. People you like suffer, and those you hate prosper. The internet goes out every time you want to use it, while reseraunts and grocery stores are always out of the food you want. The only people who are interested in you romantically are those you find repulsive and are a gender you are not attracted to. Etc, etc... "
12, Granted. The games don't get better. The ads just get worse. 
13," *Takes off pants*
So, Ash's mom, do you want to be the boy or the girl? "
14, It happened to me a couple of months ago. I ended up uninstalling and reinstalling the app to get it to work again. 
15,  
16," Granted. In fact, they grow back so large they can no longer be used for their intended purpose. "
17," Granted. The wings can lift you one inch off the ground, and you have the stamina to use them for two seconds. You require 48 hours of rest after each use. 

Also, each wing is 20 feet long and does not fold or retract. "
18, I wish I was on tv. 
19," Granted. Karma becomes the only currency in the world. Everything you post gets downvoted. Meanwhile, reposters become billionaires. "
20," Granted. When you take it out of the groud, you break a water line that causes $20,000 worth of damage. "
21, Granted. You find out there is an afterlife. It is exactly like this world except there is no end or escape. 
22," This will install a generic USB driver.

Follow this [link](https://zadig.akeo.ie/downloads/). 

Download zadig-2.3.exe. Don't get 2.4. I run windows 7 as well, and 2.4 kept freezing on me.

Have the miniSNES connected to your USB port. Turn it on by holding reset, turning on the power, then releasing reset.

Run zadig. In the drop down box there should be an unknown device listed. This is the miniSNES. If it's not listed, click options, then choose list all devices. It should now be in the drop down box.

Under the box, make sure WinUSB is chosen.

Click Install Driver.

Let it do its thing (less than a minute).

Open hakchi, and follow whichever guide you are using.

It should now work fine. I hope this helps.
 "
23, dddddddddd 
24," They would name them after their competitors, of course. Probably still better than the public naming them. I don't want to die because of Hurricane McHurricaneface. "
25," Hi. You could add roasted tomatoes if you have the time. Cut either cherry or grape tomatoes in half. Put them in a glass baking dish cut side facing up. Drizzle a little olive oil on them, and add a pinch of salt. Bake at 300f for an hour to an hour and a half.

As far as seasoning, I like putting a little black pepper in cheese sauce. Just remember that a little goes a long way. "
26," My speculation is Mueller is filing federal charges against people who can also be charged with state crimes. If they accept pardons, state charges become a lot easier, and they can be compelled to testify. Manafort is an easy pick here.

Mueller may also be forcing Trump's hand when it comes to pardons. How many pardons need to be issued before a case can be made for abuse? I don't know the aswer, but there may be some lower level people indicted to find out. "
27," I got the letter as well. I'm glad more people will get to see the shows. I hope they aren't getting rid of some shows in the change, though. For example, there have only been a couple of Cult Classic episodes so far, but they have been very good and Casper Van Dien rocks. I want all the shows to continue. "
28," She kept throwing away all the E's, 3's, and W's. "
29," I like my chickens just how I like my lollipops.
That's it, I'm a co- Wait! I mean, um, nevermind. "
30, The quiet game 
31," I would love to see a TV Fights: Cartoon Edition. Everyone can wear their coolest pajamas and house slippers. Billy Biz could rock a respectable flannel set.

Some sample questions:

What is the best Saturday mornig cartoon?

Name two cartoons that should do a cross-over episode.

Which cartoon teaches kids the best lessons?

(Speed round) Best channel for cartoons, Disney or Nickelodeon?

What do you guys think? I think the fighters and fans love cartoons. Let's make it happen!

P.S. Mike Carlson should be a fighter. Given the costumes he's worn on Movie Fights, his pj's would be epic. "
32," My guess/hope/dream is that this box is so limited and so expensive because it contains a numbered, autographed item. Imagine we get something signed by Stan the Man himself. That would definitely increase the value without increasing the size of the box "
