,post
16," Palmer's great. Would recommend giving it a read. Even if it's just once and like, 24 hours before the AP test, it's a really great, ""brief"" overview of everything you need to know. It's also less fluff-filled than other Euro textbooks "
17, Yooo same here. The teacher had summer hw which I obviously wasn't in the loop for. Shoutout to staying after school with the teacher for 1/2 an hour then going home and working for another 2 hours. (fr though my teacher is the best) 
18, I helped write the umich 1033 aff. Hmu 
19," My AP lit class focuses heavily on essays after the first few tests to try and ease us into the question format of the AP test. I'm currently trying to develop a good writing strategy (quick and concise) to be more efficient. Idk if it's the best idea, but it's the one I'm using "
20, Do they purposely make the problems harder so that it takes more time/thinking to figure it out? Also you're crazy lucky 
21, F 
22," You're looking in the wrong place, love. People here are high school aged. "
23," If your altering isn't the cause of it, you can ""paste without formatting"" to remove any potential places in which the website's data might look like a tag to verbatim "
24, I'll keep that in mind. My teacher has always said that you can pretty much do whatever as long as you have a key. Do you have any idea about how it's represented on the test? 
25," They're actually kinda asinine, but think of it this way

4|20

4 is the stem

20 is the leaf

 #x200B;

So, first you look at the stem, which usually indicates the largest digit value. Then, the leaves are placed directly beside the stem to create data points. Commas afterward are used to separate numbers. 

They're usually used to look at the rough shape of a set of data, but you shouldn't come across it too much aside from the ""familiarise yourself with visualised data"" unit. "
26, Good luck bro. It's 11 where I'm from. 
27, I open gifts daily. I try my best to send gifts to highest friendship level friends. I'm basically a free xp farm if anybody's interested 
28, Are you okay with a person who only opens gifts? The nearest pokestop is really far away from me :( 
29," I completed this, but I'm not sure if it matters because I'm under the age of 18 "
30," I mean, it technically is. Comparative to other AP classes, it's one of the easier ones in terms of concepts. However, the majority of it is just being extremely cautious with explanations. It's one of those classes that allows for \*creative freedom\* as in there's like, 3 ways to be correct but 5000 ways to fuck them up "
31, You should probably explain how you got to the outliers that you identified. The AP test will accept a variety of answers (within reason) as long as you explain your thought process with either an equation or actual words. 
32," Psych isn't that bad. I just had to read over the textbook once or twice. Would recommend taking notes on \*SOME\*, but the majority of it is common sense and previous knowledge from other AP classes. "
33," Lol, it's just so much work over in my class. Thank god I have the most passionate teacher ever. 

 #x200B;

We just started our normal curves unit and half of the class was my teacher drawing bad bell curves and yelling ""NO"" "
34, [removed] 
35, Tabroom is your friend. Octofinals results are in. Quarters just ended 
36," I used to stutter really badly from nerves, but tbh when I got fast enough I really zeroed in on reading "
37, Me too? 
38, What's your trick? 
39," I started with reading sim and sim. I didnt find it particularly helpful with debate but it did help with reading other K lit because I started with a more upper level book. I dont think many books are good for debate, but it was quite fun and interesting "
40, Its the dermis. It looks like styrofoam 
41, Same here! Congrats! 
42, Three. Days. Grace. Good shit 
43, 8:16? Seems like youre already doing the majority of it already 
44," I like the dialogue but if youve seen the anime already, itll ruin the mystery. However, you get to know the characters a hell of a lot better "
45, I have notes from the mich one. Dm email (use a throwaway if you dont wanna share irl names) 
46, Cheers! 
47, Fair enough. Sorry idk much about that quest line since I just evolved the Dratini 
48," 1. I dont know but the quest prior to evolving a Dratini gives you a Dratini 

2. Perhaps you should just not evolve unless necessary for gyms or raids "
49," 4447 2551 4433
Lol I just need to finish the special research "
50," Based on ahoge, kibo "
51," It's entirely effects T. The effects of the plan lead to a net decrease in immigration. However, the plan does not meet

Reducing restrictions on legal immigration

Most teams focused their research around visas for immigration rather than the immigration system. "
52," Currently, the affs that are slightly obscure revolve around a specific type of arm being restricted. Those typically access soft left impacts. I'd look to Umich's Mexico small arms aff as an example. However, I wouldn't recommend it because the cards lack specificity. "
53, Yeah thats some satanic shit 
54,  
55, Shane Dawsons jefree star clip 
56," My go-to, but pretty bad for learning how to do proper impact calc work. It gets you really good at framing/knowing your aff, but your team will suffer when reading a hard right impact vs a hard right aff "
57, You a real hydrohomie 
58," Depends on what you work on. For me, its breathing. I do

A normal spread of an 8 min speech
Overenunciation of the same speech
Normal spread of 8m speech
Backwards drill until I get cross eyed "
59, Its a different account. The only benefit reaped is help in raids 
60, Rip. Guess I dont have that problem because my dad (who requested the cam) is in a different country 
61, My security cam keeps falling over. 10/10 would recommend 
62," lol you might be in my lab. Debate camp helps everybody to the extent that they want to be helped. Just remember that once lab is done for the day, people go to the dorms and start prepping like, immediately. What you see in lab is not necessarily a reflection of how much people work. "
63," I wouldn't say it's ""inspiring"" per say, but it did help non ED people understand eating disorders a bit more. It's really well made, but Hollywood really likes its tricks and camera angles to make everybody SO SKINNY. My god, it's like thinspo. "
64, W A T E R 
65,  
66, Icy hot is my friend 
67," I have a friend with hypoglycaemia. She sometimes skips meals but keeps energy gels (for runners) if shes feeling woozy. I havent seen her skip more than two meals, so depending on how you deal maybe consider IF? "
68," Start with shorter fasts to see where your threshold is. Then, start pushing it. I recommend looking into techniques the moment you feel unwell "
69," Part of PTSD is forgetting small bits of info regarding trauma. For most, this manifests itself in the world's most confusing flashbacks "
70, Makeup gains too! I'm proud! 
71, Thigh gap babyyyyyy!!! Looks so good! 
72," I've started having crippling flashbacks in public. My flashbacks generally involve me being unresponsive, in the fetal position, hyperventilating. Friends of mine have confirmed that if they did not know about my condition, they would've called an ambulance.

 #x200B;

Thus, I've been considering a medical ID bracelet that lists conditions, symptoms, and a request for people not to call an ambo. What should be written on it? "
73, Google [campname] [year] google sites 
74," Ive gotten to fat, but it wasnt very enjoyable "
75, [removed] 
76," The starter packs for camp should be mostly out. I recommend an hour for looking over the formatting, but start cutting cards ASAP. The first few might not be too good, but itll help familiarize you with the topic. Also, t cards are best for analyzing the structure of the res which should make research easier for you if you start there "
77, Anemia 
78," Bro, it doesnt matter how you get the PTSD. Were here to empathise no matter what. Were all together in this fight. Dont feel like ur experiences are lesser or anything "
79, Adrenaline is powerful shit 
80, F 
81, Clothing. Casts are a last resort 
82, SUBTELY discourage Ed related behaviour. Something along the lines of did you wanna finish those crisps? Or something 
83, Big mood 
84," Neosporin doesn't help, but it does prevent any potential worsenings. Perhaps a clothing cover-up or some high quality foundation would be better. "
85," If its blood sugar, maybe ease off the aspartame for a bit. It triggers your system into thinking its real sugar, which leads it into fake processing the cals "
