,post
16," This thing: r()
I'm not sure how to phonetically describe it, but it's a sound very typical for my native language (Czech) and very few speakers of other languages can pronounce it (actually even the Czechs have problems with it). Plus I think it sounds pretty cool if you know how to pronounce it. "
17," This is so cool man! Congrats on launching the game, deff gonna play it. Your grandma is so lucky to have you make her stories remembered, and you are lucky to have her share them with you. I recently got an idea about writing down and maybe publishing the stories from WW1 and WW2 my grandma used to tell me when I was a kid, either of what she experienced herself or what she heard from her relatives/friends, and honestly, some of it was pretty unbelievable stuff. However, since she it getting older, she starts forgetting things, including her memories. She still remebers a lot, but when I ask her to tell me one of the stories, I know there are some things just missing, but I can't teally tell which things. Or, once I asked her about a story she told me about our neighbour who fought in a battle quite important for my country, but she didn't recall the story at all. This makes me really sad and I wish I could travel back in time when I was a kid and tell myself to listen more carefully or to take notes. "
18,  
19," Haha I completely understand that, the professors can be really confusing sometimes. But from what you wrote I'd say that any language except the really big ones should be ok, 'cause they can't really expect you to study some completely undocumented language on an undergraduate level. Anyway, see what your prof will tell you and if you are interested in my languages, don't hesitate to message me:) "
20," What exactly do you mean by understudied language? I am native in Czech and Slovak and would love to help you (with either language), but I'm not sure if they really fall into your description. "
21," That's really good question. I usually know if the person I'm texting with uses more Czech or English abbreviations, then it's quite easy to know which one it means, but otherwise I would have to figure it out of context, so there would be a chance of mixing those two up. But to be honest I can't think of any of my Czech friends that uses ""nevermind"" while texting. The English abbreviations we use the most are idk, idc, wtf, omg and tbh. Though I can't speak for everyone, this is just my personal experience. "
22," nvm - short for ""nevm"" which means ""I don't know"" in Czech. Another one I can think of is z5 (5 is ""pt"" in Czech, so together it's ""zpt"" which means ""back"", as in "" I am back"") or """", short for ""dky"" which means ""thanks"". There's actually more of them but almost noone uses them tbh (at least as far as I know). A lot of people use the English abbreviations nowadays. "
23," Considering I now live in the UK, I talk to the native speakers a lot, but if I stayed in my home country then I probably wouldn't. I was lucky though, we had lessons with native English speaker in both elementary school and high school (only once a week, but still). Not all schools can offer this to their students though. "
24, Shit 
25," I used to think it's because I'm ugly, but then I was told it's because men find me intimidating, or, if they don't, I ignore them. When I look back, it kinda makes sense. "
26," The weather is surprisingly nice for this time of the year which makes me happy and full of energy. On the other hand, I am tired and angry at my flatmates who came home drunk at 3AM and woke me up. So I would say I'm just alright.
What about you? "
27, I am a highly functioning sociopath. 
28," This reminded me of one movie where was a girl who desperately wanted a crossbow and when she finally got one for Christmas (from her uncle or grandma, not sure tbh), the rest of the family was just ""who the hell gave that to her"" "
29, It's a shame I had to scroll for so long to find that one 
30," Someone once told me that ships are called ""she"" because sailors liked to compare their unpredictability to women's. It is also the reason why majority of ships have female names. 
But, as commenters before me already said, there are multiple theories why is that so and this is just one of them. "
31, Omg that is so messed up 
32," Waaait, people turning mental disabilities into genders? Wtf? That's a real thing? "
33," As a Czech person I have to say that I still refer to it as Czech Republic purely out of habit, but I don't mind people calling it Czechia. Tbh it makes sense to call it like that, we also say ""Slovakia"" and not ""the Slovak Republic"". "
34," There is a book called ""Projects in Linguistics and Language Studies"" by Wray   Bloomer full of interesting and easily replicable studies for students (I used it several times in my first year). Maybe your library has some copies. "
35," People who use their zodiac sign as an excuse for their bahaviour. ""Well, I know this might be annoying for you, but I am xxx, so there's nothing I can do."" This is a quote from my flatmate. No, you can do sth about it. Stop being a bit*h. "
36," Not sure if it's on the list or not, but I would recommend ""The Study of Language"" by George Yule. It's written in pretty comprehensible language so to read it you don't need any linguistic background at all and it also covers all the major sub-fields of linguistics, so it gives kinda nice overwiev of what it is all about. "
37," It never came to my mind that the word could have such deep roots. I thought it would be just some weird coincidence. Wow, good job. "
38," In Czech the word /kakat/ means ""to poop"" (it's actually one of many words you can use to describe the act of pooping, this one is usually used with children). I really wonder how this happened. "
39," To give a little backstory, I am currently an undergrad Linguistics student whose big dream is to get a PhD and become a university lecturer. I am also in the process of getting a full-sleeve tattoo, which is quite visible thing. So my question is, would that be a problem in getting my dream job? Would I have to have it permanently covered with long sleeve, or do the universities just don't care? I haven't met many academics (at least in my field) with visible tattoos so that worries me a little. Or is this a country-specific thing? What is your experience? Thank you in advance for your answers! "
40," There's actually more than one whistle language, but the most known ones are probably Yupik and Silbo Gomero "
41," https://lrc.la.utexas.edu/eieol I honestly don't know where I found this, but I used this page for improving my Latin and Old Norse, hope it will help you! "
42," In Czech, ""i"" and ""y"" sound the same in the spoken language, but can make a huge difference in the written language - for example:
Bt = to be
Bt = to hit sth/someone
Then there are words where the misuse of i/y doesn't change the meaning but it still hurts my eyes a lot "
43,  
44," You are not alone, I'm also 20 and I love genealogy! "
45," I just started the second year of my English   Linguistics degree so I'm not saying that my opinion on that is... valid? But from what I've learned and observed, I would say that English is getting more and more diverse (same thing that happened to Latin). For example, in countries which used to be a part of the British Empire the English was (and still is) influenced by the languages of the native people so it becames quite hard to tell if it is a creole, a new language, or just a very weird dialect. I would also say that a similat thing is going on in countries like the UK, the USA, Australia etc. where English is the oficcial language but as we all know there are some minor differences between the Englishes spoken in these countries, and in my opinion these differences will became more obvious in longer period of time (due to different factors, mostly cultural). So maybe in a few centuries, or maybe even decades, we might have a group of languages descended from present-day English. "
46," I have tattoos, dye my hair red and black and you rarely see me in any other color than black. Though I don't do it every day, I wear my heavy boots and leather jacket/long trenchcoat with kinda dark make-up when I'm in the mood.
Idk what sorts of weird stuff people tend to associate with me (and I don't really care tbh), but a couple of things I've noticed:

you really don't smoke?
wow, I would never say you are such a fun person
wait, you go to normal parties?
Omg people, I'm not a satanist/emo/whatever TV stereotype you sorted me into, I love metal/hardrock music and style, but I am also a 20 years old student, I wanna have fun with other people

Speaking of which:

you study at uni and do science? wow I would never say you are so smart
Wtf is wrong with you, just because of my looks (and maybe the fact that I swear a lot) I must be dumb? I'm smarter than you and majority of people you know you douchebag

Also, I'm a bit chubby, so:

omg you really do sport/go to gym? 
Like, yeah, I'm in pretty good condition, I just eat a lot lol. But I run, lift weights, do TRX, occasionaly play volleybal and I love horseriding.

Please, don't judge people before you got to know them, for god's sake. "
47," No worries, thank you for your question! Languages are my passion and I also study linguistics so I find all the answers here really cool, and the fact that a lot of people are thinking in English even though it's not their native language is something that deffinitely might be worth a further study! "
48," My native language is Czech and I speak 7 other languages, but I think mostly in English, idk why but I find it easier to let my thoughts just flow in my head. It almost looks like English is the default language of my thoughts, but I've learned it as a third language so it shouldn't be. But when I speak I prefer any other language because English often feels too slow to express myself in. 
Then there's this funny thing when I sometimes think in concepts, like no words, just the meanings, and when someone asks me what am I thinking, I look like a complete idiot because I can't find appropriate words  for the language I have to speak at that moment. That could be annoying. "
49," When I was 12 (or 13 maybe?), I was home alone, and I opened the door from my family's apartment just to find our schizophrenic neigbour standing in the hallway, pointing at me with a gun. He said nothing, he was just standing there. My first thought was ""this isn't happening,"" but then I realized the shit is real, so I noped out, locked the door and called the police. Then the adrenalin kicked in and I started shaking. I wouldn't say that I was scared though, it was just all sooo weird. "
