,post
38," One time some higher ups(2-3 degrees higher than our DM) visited our store and started walking behind the counter and interacting with DT customers during a rush when we only had three people on the floor. When I asked them what they did they said ""Oh, we're partners.""
Like we're a ducking Starbucks cult or something.

All hail the almighty Siren 
May she bless peaks and kill the scourge of Karens "
39, I always get Splenda and Equals stuck on the syrup so it forms a disgusting crust until I get a 10. Anybody else want to petition for 15's?? 
40," After a few months you can start to juggle between the window and the speakerbox naturally. You have to make once or the other wait a second or two when you take an order/receive payment and then switch. It's a rhythm thing that you CAN do, it just takes time and dedication.

Also you don't have to deeply interact with customers this way and if you're a super-introvert like me, that's a win. "
41, I can't agree more 
42, Same here bro 
43," Au Ag Pt they're all metals, so boring! Let's get some more electronegative element based rewards going on up in here! Can I get a Chlorine? "
44, Made me actually smile today. Thanks 
45," Oh the internet is a skeleton because we're all secretly dead inside. I see you, meme-maker. "
46, *cries because of scary math food* 
47," Do it! Then you'll have a badass story about how you got your inspiration once it's done.
Then if you make it big you'll truly be living the dream. "
48, Thorsday-god of weekdays is the next contestant 
49," I'm in a similar battle against anxiety but when I got a job it really helped me with some portions of it. After a while I stopped caring about what my co-workers thought of me and just had fun with some of them when I could. One of those coworkers is my best friend now and we text every day. You might not have the same experience, but it was really helpful for me.

The battle is worth it, keep fighting! "
50," I'm a college student and I don't have many friends. I have some friends back home that rock, but none at my college.

People keep telling me that I have to make friends and get a group, but I don't feel like I need people in my life. I'm much more comfortable being by myself, however I feel strange that I'm not with people like the normal people here.

I suffer from anxiety so I feel weird and out of place with people but I also feel weird without anyone here.

Any advice for making friends halfway through the semester is appreciated. "
51," I don't know if I can finish my first semester at college. I'm getting A's and B's but my mental health isn't great and I don't know if I can do anything, much more have a functional life. 

I'm supposed to choose classes for next semester but I haven't even applied for the loans yet.

I'm supposed to want things for my life but I'm numb and I don't want anything. I'd rather just stay in my room and eat/sleep/not think about how badly I think I'm doing.

People say that with determination you can do anything, but I'm all outta determination juice.

Occasionally I get somewhat motivated, but I still don't believe that I can do this even though literally everyone in my life says I can. "
52," Sew, a needle pulling thread! "
53, Is this Break'NEnter thieves emporium? 
54, Either Santa is way to fricking late or that man's handwriting is the worst ever 
55, My heart is melting 
